year	qe_score	anchor_sim	twi	english
2022	0.9966	0.2022	Bio, yɛdii ntoasoɔ sukuu mu dwuma afoforɔ dodoɔ ɔha ne dunwɔtwe, wiee ne nyinaa a na adesuadan, baabi a adesuafoɔ no da (dormitories), baabi a wɔyɛ sukuu mu ntotoeɛ (administration blocks), nwoma akenkanbea ne baabi a wɔdidi ka ho bie.	Further to this, 118 infrastructure projects made up of classrooms, dormitories, administration blocks, libraries and canteens at the secondary education level were completed.
2022	0.9966	0.5143	Tema Ayaresabea kɛseɛ no (Tema General Hospital) ne Apɔmuden ho Akadeɛ Akoraeɛ kɛseɛ no (Central Medical Stores) ho dwumadie nso bɛhyɛ aseɛ na ɛberɛ korɔ no ara mu nso, La, Nkoranza ne Shama ayaresabea a yɛresi no nso ho dwumadie bɛkɔ so pɛpɛɛpɛ.	Reconstruction of the Tema General Hospital and the Central Medical Stores will commence, while the construction of the la, Nkoranza, and Shama Hospitals will continue.
2022	0.9961	0.7192	Ɔhaw a COVID-19 yareɛ no de baeɛ no nyinaa akyi, yɛgu so ara renya kankorɔ wɔ Mansini Baako Afididwuma Baako (IDIF) ho dwumadie mu.	Despite the effects of the COVID-19 pandemic, remarkable success continues to be achieved under the IDIF Programme.
2022	0.9961	0.3309	Yei si wɔ ɛberɛ a sika a Aban de bɛdi dwuma no kɔ anim sene deɛ Aban nsa aka no ankasa.	This occurs when Government expenditure is more than revenue.
2022	0.9956	0.3112	Ahohiahia a ɛkɔwiee owuo, asetenam ahokyere ne adwumasɛeɛ a Ghanafoɔ hunuiɛ no nyɛ adeɛ a Aban werɛ afiri koraa.	The hardship experienced by Ghanaians through the loss of lives, livelihoods and businesses is not lost on the Government.
2022	0.9956	0.3601	Aban nam ayaresabea ahodoɔ ɔha ne dubaako (Agenda 111 programme) a ɔrebɛsi wɔ mansini ahodoɔ mu no so ne Ɔman Apɔmuden Nsiakyibaa Nhyehyɛeɛ (National Health Insurance Scheme) bɛdi nsawɔsoɔ ama apɔmuden ho akadeɛ akɔ nkan na wama Apɔmuden mmeaeɛ no nsa aka sika a wɔhia de adi wɔn dwuma sɛdeɛ ɛbɛyɛ a apɔmuden a yɛrepɛ ama obiara wɔ afe 2030 mu no bɛba mu pɛpɛɛpɛ.	In conjunction with the National Health Insurance Scheme, Government will under the Agenda 111 programme boost health care infrastructure and financial access to health care to achieve quality universal health coverage by the year 2030.
2022	0.9956	0.3271	Yei yɛ sika a yɛde yɛ mpontunnwuma sɛ ebia akwanyie, sukuudansie, ayaresabea dansie, atwenesie, akwantusɛm, nsuo, mfidie akɛseɛ ne deɛ ɛkeka ho. Yei yɛ adwumayɛfoɔ bosome akatua, Sika ahodoɔ, asetenam ahotosoɔ sika, akwankɔgya sika ne deɛ ɛkeka ho a wɔtua ma Aban adwumayɛfoɔ.	This is money spent on major infrastructure projects such as roads, schools, hospitals, bridges, transport, water systems, plant and machinery etc. This is made up of salaries and salary-related allowances such as social security, gratuities and pensions paid to public sector workers.
2022	0.9956	0.2771	Yei gyina hɔ ma Aman anaa nnwumakuo a wɔboa Aman a afei na wɔretu mpɔn ma wɔduru wɔn mpontuo botaeɛ ho.	This refers to countries and/or organizations that collaborate with developing countries to achieve their developmental goals.
2022	0.9951	0.3701	Aban sane yɛɛ nhyehyɛeɛ ahodoɔ nam so boaa ankorankorɛ nnwuma sɛdeɛ ɛbɛyɛ a ɔmanfoɔ bɛsane asi wɔn dada mu.	Government also initiated policies to help revive businesses and bring our lives back to normalcy.
2022	0.9951	0.3087	Ghanaman reyɛ nhyehyɛeɛ nam so redi nnuadua ho dwuma a yɛnam so bɛhyɛ kwaeɛ a wɔatwa emu nnua nyinaa no anan mu.	Ghana is pursuing and implementing an aggressive afforestation programme and projects aimed at restoring lost forest cover.
2022	0.9951	0.4826	Wɔde Mmoayɛn Nhwehwɛmu Beaeɛ a ɛfa nkokɔ a yɛbɛwe (ARIBRO) (Animal Research Institute Broiler) ho dwumadie baeɛ no, ɛberɛ a ɛdi kan nie a CSIR de brɔla nkokɔ abedeɛ ne anini apue edwa.	For the first time, since the inception of the release of the ARIBRO (Animal Research Institute Broiler), the CSIR developed and released male and female lines of broilers.
2022	0.9951	0.4079	Yɛbɛgyina dwumadie a wɔato edin ARIBRO no so de nkokɔmma a wɔadi da koro no bi akyekyɛ ama mmoayɛn akuafoɔ.	Day-old chicks will also be produced and supplied to farmers under the ARIBRO Project.
2022	0.9951	0.4472	Ɔman Adwumakuo a Ɛhwɛ Mfidinnwuma Nketewa so no yɛ ɔman adwumakuo a ɛnyɛ mfasoɔ enti na wɔwɔ hɔ na mmom, ɛyɛ adwumakuo a ɛhyɛ Asoɛeɛ a Ɛhwɛ Edwadie ne Mfidinnwuma so no ase, a mmara ma wɔn ho ɛkwan sɛ wɔnhwɛ sɛ Mfidinnwuma Nketewa ne Adantam (Micro and Small Enterprises (MSEs) bɛtu mpɔn.	The National Board for Small Scale Industries (NBSSI) is a non-profit public sector organisation under the Ministry of Trade and Industry, and is mandated to promote the growth and development of Micro and Small Enterprises (MSEs).
2022	0.9946	0.6806	Mmabunu Adwumanya Adwumakuo (Youth Employment Agency (YEA) no gyinaa wɔn nkorabata ahodoɔ so faa nnipa dodoɔ mpem aduɔwɔtwe mmienu, ahanwɔtwe ne aduosia nkron (82,869 beneficiaries).	The Youth Employment Agency (YEA) engaged 82,869 beneficiaries under the various YEA modules.
2022	0.9946	0.2526	Yei yɛ sika dodoɔ a Aban tua wɔ dwuma a ɔdi ne dwumadie a ɔdi ma ɔmanfoɔ ho ho.	Amount of money that Government pays for running its operations and for delivering services to the public.
2022	0.9941	0.4148	Ewiem nsakraeɛ ho anammɔntuo ne ɛkwan pa a yɛrefa so abrɛ ewiem nneɛma bɔne ano ase. 30. COVID-19 akyiri sikasɛm nsiesie nhyehyɛeɛ no ama akwannya a yɛnam so bɛtumi afa ɛkwan pa ne nkoden so aduadua nnua nam so agyina yie bio.	The post COVID-19 economic recovery agenda provides an opportunity to build back better through innovation and more aggressive pursuit of green growth.
2022	0.9941	0.3007	Ɛhia pa ara sɛ yɛhwɛ toto yɛn ahiadeɛ, yɛn apɛdeɛ ne deɛ ɛsi yɛn ani so no ho nsɛm yie sɛ ɔman ne nnipa baako.	It requires a careful realignment and rebalancing of our needs, wants, and aspirations as a cohesive nation and as a people.
2022	0.9937	0.5335	Ghana Abɛɛfo edwadibea no akoradan a ɛwɔ Wenchi	Ghana Commodity Exchange warehouse in wenchi
2022	0.9932	0.5844	Yɛpagyaa sika a Aban de tɔ kookoo mu kɔduruu ɔha nkyɛmu aduonu nwɔtwe ma ɛkɔduruu sidi mpem edu ahanum aduasa (GH¢10,560) tɔnn baako biara wɔ afe 2019/20 kuayɛ ɛberɛ no mu na ɛboɔ no kɔɔ so gyinaa saa ara wɔ afe 2021/22 kuayɛ ɛberɛ no mu mpo wɔ ɛberɛ a na kookoo ɛboɔ aba fam wɔ ewiase nyinaa edwaman so.	Producer price was increased by 28 percent to GH¢10,560 per tonne during the 2019/20 season and maintained at that level for the 2021/22 season in the face of cocoa prices being held down at the international market.
2022	0.9932	0.1544	Wɔyɛn Nkokɔbedeɛ dodoɔ a na wɔadi nnawɔtwe enum apem baako ne ahasa ne nkokɔnini a wɔbɛforo abedeɛ no ahasa a na wɔadi nnawɔtwe nson.	Over 1,300 breeder hens and 300 breeder cocks between 5 and 7 weeks old were developed.
2022	0.9927	0.3957	Nneɛma a Aban Nnwuma agye atom wɔ wɔn Nneɛmatɔ Nhyehyɛeɛ (Procurement Plans) mu a apue edwa wɔ Aban Nneɛmatɔ Mpenesoɔ Adwumakuo (PPA) no abɛɛfo amaneɛbɔbea (website) no nko ara na yɛbɛdi ho dwuma de ama nneɛmatɔ ho kɔntraagye, Ɛsɛ sɛ Nneɛmatɔ ho abisadeɛ a Aban adwumakuo biara bɛyɛ wɔ afe biara mu no yɛ deɛ wɔatwa ɛho sika ato hɔ wɔ saa afe korɔ no mu Sikasɛm Nhyehyɛeɛ mu.	Only items specified in approved MDAs' Procurement Plans posted on the PPA website can be considered for procurement contracts; All procurement requests by procurement entities relating to a particular fiscal year must be backed by budgetary allocations approved for that year.
2022	0.9927	0.3649	Yei yɛ ɛkwan a wɔfa so kyekyɛ ɔman sika mu ma Aban asoɛeɛ ahodoɔ no ne nnwumakuo ahodoɔ no ma wɔde di dwuma ma ɔmanfoɔ.	The process of sharing or distributing resources amoung government agencies and departments.
2022	0.9922	0.2708	Yei enti, Aban retu anammɔn afa so asiesie nsase a asɛe no, ama yɛn kwaeɛ ne emu mmoadoma ho banbɔ, ntotoeɛ ne dwumadie ahodoɔ a ɛde mfasoɔ bɛba no adi mu.	In this regard, Government is embarking on programmes to reclaim our degraded lands to ensure the sustainable protection, management, production and development of forest and wildlife resources.
2022	0.9922	0.3031	Yɛbɛwie dodoɔ nson aka no wɔ afe 2021 awieeɛ. Saa dwumadie yi bɛma yɛanya akoradan a ne kɛseɛ bɛyɛ mpem aduasa (30,000mt) a ɛbɛboa akora nnɔbaeɛ dodoɔ a ani da ɛkwan sɛ ɛbɛba ɛsiane PFJ nhyehyɛeɛ no enti.	The remaining 7 are scheduled for completion by the end of 2021. This initiative will make available 30,000mt of storage capacity to accommodate anticipated increased production under the PFJ initiative.
2022	0.9897	0.1800	"Ɛbɔ 2021 baa awieeɛ no, na yɛagyina nhyehyɛeɛ a ɛne ""Mansini Baako Akoradan Baako- ho dwumadie so awie akoradan (warehouses) dodoɔ aduasa a yɛde sii ani so sɛ yɛbɛsi no mu dodoɔ aduonu mmiɛnsa."	As at end of September 2021, 23 out of the 30 warehouses initiated have been completed under the “One District One warehouse” intervention.
2022	0.9897	0.3183	Yei yɛ sika dodoɔ a aka wɔ ɛberɛ a Aban agyegye deɛ nqani da ɛkwan sɛ ɔbɛnya no nyinaa akyi de adi dwuma, a bosea ho nsiho nka ho bie, (kyerɛ sɛ bosea a Aban bɛtua nka ho).	This is the difference between Government revenue and its non interest expenditure (excluding debt Service Payment).
2022	0.9888	0.6692	Bio, yɛtwerɛɛ amannɔnefoɔ dodoɔ mpem ɔha aduosia mmiɛnsa ne ahansia aduɔkron enum (163,695 foreigners) edin memaa wɔn ahɔhoyɛ ho adansedie kaade (Non-Citizen Identity Cards).	A total of 163,695 foreigners were also enrolled and issued with Non-Citizen Identity Cards.
