anchor_sim	qe_score	twi	english
0.7077	0.9541	ASANTE TWI 2022 ƆMAN MMA SIKASƐM NHYEHYƐEƐ 2022 Ɔman Mma Sikasɛm Nhyehyɛeɛ No Ho Anodisɛm A Yɛakyerɛkyerɛ Mu Ama Ayɛ Tiawa Na Ne Nteaseɛ Ayɛ Mmrɛ Ɛkwan a Ɔman Mma bɛtumi afa so abisa ɛho nsɛm 2022 Ɔman Sikasɛm Nhyehyɛeɛ Ho Anodisɛm ne Ɔman Mma Sikasɛm no ho nsɛm wɔ abɛɛfo amaneɛbɔbea a ɛwɔ aseɛ ha yi: www.mofep.gov.gh	2022 CITIZENS’ BUDGET An Abridged and Simplified Version of the 2022 Budget Statement and Economic Policy ” The 2022 Budget Statement and Economic Policy of the Government and the Citizens' Budget are available on the internet at. www.mofep.gov.gh
0.3595	0.6567	Wopɛ nwoma yi dodoɔ nso a, yɛsrɛ wo sɛ kɔ Asoɛeɛ a ɔhwɛ Sikasɛm so no ɔfese a wɔne ɔmanfoɔ di nkutaho hɔ.	For copies of the Statement, please contact the Public Relations Office of the Ministry of Finance.
0.9511	0.2498	Wɔn akyirikwan ne: Public Relations Office New Building Ground Floor Room 001 or 003 P.	Public Relations Office New Building Ground Floor Room 001 or 003 P.
0.8373	0.9927	Box MB 40 Accra – Ghana Email: info@mofep.gov.gh Translated by: Bureau of Ghana Languages	Box MB 40 Accra a Ghana Email. info@mofep.gov.gh
0.2330	0.8701	Hyehyɛpono Ahodoɔ: 3 Nkontabuo ho hyehyɛpono ahodoɔ 3 ƆSOAFOƆ NO ANODISƐM 5 NNIANIMU 7 SƐDEƐ ƆMAN SIKASƐM YƐƐ WƆ AFE 2021 MU SIKA A ƐBAA ƆMAN FOTOƆ MU NE DWUMA A YƐDE DII WƆ AFE 2021 MU 10 AFE 2022 SIKASƐM NHYEHYƐEƐ NE ƆMAN NO SIKASƐM GYINAPƐN 14 SIKASƐM NTOTOEƐ PA HO ANAMMƆNTUO AHODOƆ A ƐWƆ AFE 2022 SIKASƐM NHYEHYƐEƐ YI MU. 17 COVID-19 YADEƐ KONTONKUROWI AKYI SIKASƐM MU MPONTUO 19 MPONTUO A AKƆ SO WƆ ASOƐEƐ AHODOƆ NO MU NE SƐDEƐ NNEƐMA TEƐ SEESEI AWIEEƐ 39 Nsɛmfua Asekyerɛ (Sikasɛm Nhyehyɛeɛ mu Nsɛmfua) 40	List of Tables. 2022 BUDGET AND THE ECONOMY Figure 2. Summary of Expenditure Performance for Jan-September 2021 Figure 4. Summary of Revenue Projections for 2022 (in Billions of Cedis) Figure 5. Expenditure Items and their allocations for 2022 ( in Billions of Cedis) ... 14
0.0975	0.9399	Hyehyɛpono Ahodoɔ: Hyehyɛpono 2 Nkontabuo ho hyehyɛpono ahodoɔ Hyehyɛpono 1: Sika A Ɛbaa Ɔman Fotoɔ Mu firi Ɔpɛpɔn kɔsi Ɛbɔ wɔ 2021 mu no ho Hyehyɛpono 2: Dwuma A Yɛde Sika Dii firi Ɔpɛpɔn kɔsi Ɛbɔ bosome wɔ afe 2021 mu Hyehyɛpono 4: Sika Dodoɔ A Ani Da Ɛkwan Sɛ Yɛbɛnya wɔ afe 2022 mu no ho Hyehyɛpono 5: Dwuma ahodoɔ A Yɛde Sika Bɛdi Ne Sɛdeɛ Yɛakyekyɛ mu wɔ afe	“The bricks have fallen, but we will build with dressed stones; the sycamores have been cut down, but we will put cedars in their place” (Isaiah 9:10)
0.6933	0.9868	COVID-19 yadeɛ kontonkurowi ho nsunsuansoɔ bɔne no aka ewiase ɔman biara sikasɛm a Ghanaman ka ho bi.	The devastating impact of the COVID-19 pandemic has been felt by all economies, including Ghana.
0.3112	0.9956	Ahohiahia a ɛkɔwiee owuo, asetenam ahokyere ne adwumasɛeɛ a Ghanafoɔ hunuiɛ no nyɛ adeɛ a Aban werɛ afiri koraa.	The hardship experienced by Ghanaians through the loss of lives, livelihoods and businesses is not lost on the Government.
0.3668	0.9385	Mede ahohoahoa ka sɛ anammɔn a ɔman yi tuu wɔ yadeɛ kontonkurowi yi ho no yɛ akokoɔduru anammɔn na ɛyɛ gyinaeɛsie a ɛdi mu pa ara a ewiase aman nyinaa agye atom sɛ yɛayɛ adeɛ.	I am proud to say that our response to address the impact of the pandemic was bold and decisive and has been admired all over the world.
0.3701	0.9951	Aban sane yɛɛ nhyehyɛeɛ ahodoɔ nam so boaa ankorankorɛ nnwuma sɛdeɛ ɛbɛyɛ a ɔmanfoɔ bɛsane asi wɔn dada mu.	Government also initiated policies to help revive businesses and bring our lives back to normalcy.
