score	twi	english
0.9927	Box MB 40 Accra – Ghana Email: info@mofep.gov.gh Translated by: Bureau of Ghana Languages	Box MB 40 Accra a Ghana Email. info@mofep.gov.gh
0.9932	Hyehyɛpono Ahodoɔ: Hyehyɛpono 2	2022 CITIZENS’ BUDGET An Abridged and Simplified Version of the 2022 Budget Statement and Economic Policy ”
0.9966	Ahohiahia a ɛkɔwiee owuo, asetenam ahokyere ne adwumasɛeɛ a Ghanafoɔ hunuiɛ no nyɛ adeɛ a Aban werɛ afiri koraa.	This has brought instant and significant relief to our people and is revitalising our nation.
0.9966	Aban sane yɛɛ nhyehyɛeɛ ahodoɔ nam so boaa ankorankorɛ nnwuma sɛdeɛ ɛbɛyɛ a ɔmanfoɔ bɛsane asi wɔn dada mu.	Through this period, our resilience to survive as a nation has been tested.
0.9937	Nneɛma a Aban Nnwuma agye atom wɔ wɔn Nneɛmatɔ Nhyehyɛeɛ (Procurement Plans) mu a apue edwa wɔ Aban Nneɛmatɔ Mpenesoɔ Adwumakuo (PPA) no abɛɛfo amaneɛbɔbea (website) no nko ara na yɛbɛdi ho dwuma de ama nneɛmatɔ ho kɔntraagye, Ɛsɛ sɛ Nneɛmatɔ ho abisadeɛ a Aban adwumakuo biara bɛyɛ wɔ afe biara mu no yɛ deɛ wɔatwa ɛho sika ato hɔ wɔ saa afe korɔ no mu Sikasɛm Nhyehyɛeɛ mu.	Only items specified in approved MDAs' Procurement Plans posted on the PPA website can be considered for procurement contracts;
0.9971	Aban mmoa a ɔde boa kuadwuma no bɛdi mu na emu ayɛ fann a obiara bɛhunu deɛ ɛrekɔ soɔ.	Compensation of Employees and Interest Payments were the two biggest expenditure items.
0.9971	Aban bɔɔ mmɔden wiee Ɔman Nsrahwɛbea ahodoɔ a wɔde bɛgu abɛɛfo amaneɛbɔbea baako so ho dwumadie; na ɛnam so ma wɔn a wɔdi dwuma wɔ nsrahwɛ adwuma no mu ahasa (300 operators) aba faako sɛdeɛ ɛbɛyɛ a wɔbɛfa abɛɛfo ɛkwan so adi wɔn dwuma na wɔn dwumadie adi mu.	Government's fiscal operations resulted in a cash deficit of GH¢33.86 billion (7.70 of GDP), compared to the revised target of GH¢32.58 billion (7.40 of GDP).
0.9937	Nkwa ho banbɔ ne Apɔmuden ho Nhyehyɛeɛ a ɛdi mu ho anammɔntuo 27. Aban ahyɛ aseɛ retu anammɔn a ɛbɛma yɛasi Ghana Beaeɛ a ɛbɛyɛ aduro a yɛde wɔ paneɛ de ko tia nsaneyadeɛ (Ghana Vaccine Manufacturing Centre).	Government has commenced concrete steps to establish the Ghana Vaccine Manufacturing Centre.
0.9956	Aban nam ayaresabea ahodoɔ ɔha ne dubaako (Agenda 111 programme) a ɔrebɛsi wɔ mansini ahodoɔ mu no so ne Ɔman Apɔmuden Nsiakyibaa Nhyehyɛeɛ (National Health Insurance Scheme) bɛdi nsawɔsoɔ ama apɔmuden ho akadeɛ akɔ nkan na wama Apɔmuden mmeaeɛ no nsa aka sika a wɔhia de adi wɔn dwuma sɛdeɛ ɛbɛyɛ a apɔmuden a yɛrepɛ ama obiara wɔ afe 2030 mu no bɛba mu pɛpɛɛpɛ.	In conjunction with the National Health Insurance Scheme, Government will under the Agenda 111 programme boost health care infrastructure and financial access to health care to achieve quality universal health coverage by the year 2030.
0.9941	Ewiem nsakraeɛ ho anammɔntuo ne ɛkwan pa a yɛrefa so abrɛ ewiem nneɛma bɔne ano ase. 30. COVID-19 akyiri sikasɛm nsiesie nhyehyɛeɛ no ama akwannya a yɛnam so bɛtumi afa ɛkwan pa ne nkoden so aduadua nnua nam so agyina yie bio.	The post COVID-19 economic recovery agenda provides an opportunity to build back better through innovation and more aggressive pursuit of green growth.
0.9951	Ghanaman reyɛ nhyehyɛeɛ nam so redi nnuadua ho dwuma a yɛnam so bɛhyɛ kwaeɛ a wɔatwa emu nnua nyinaa no anan mu.	Ghana is pursuing and implementing an aggressive afforestation programme and projects aimed at restoring lost forest cover.
0.9956	Ɔhaw a COVID-19 yareɛ no de baeɛ no nyinaa akyi; yɛgu so ara renya kankorɔ wɔ Mansini Baako Afididwuma Baako (IDIF) ho dwumadie mu.	Despite the effects of the COVID-19 pandemic, remarkable success continues to be achieved under the IDIF Programme.
0.9854	1D1F Tomato ho afididwuma a ɛwɔ Domfete wɔ Berekum Atɔeɛ	Tomato Processing Factory at Domfete, Berekum west under 1D1F
0.8872	Dwumadie a wɔfrɛ no "Enable Youth 1D1F mu no; nnwuma ahanu aduɔson nwɔtwe (278 projects) mu aduonum nwɔtwe (48 projects) yɛ mmabunu akuo a Aban aboaboa wɔn ano no dea na yɛataa wɔn akyi aboa wɔn sika fam sɛ wɔmfa mmue wɔn ankasa mfidinnwuma a ɛdi mu pa ara.	41. under the Enable Youth 1D1F Initiative, 58 of the 278 projects are fully-owned by youth groups mobilised by Government and supported with seed funding to establish their own state-of-the-art agro-processing factories.
0.9917	Atɔeɛ Atifi ne Firaw Amantam mu.	Mass Spraying of Cocoa Farms
0.9771	Tono mfu-so nsuguguo a ɛde nsuo bɛkɔ asase hɛkta mpem mmienu ahanan aduɔkron (2;490ha) so ɛnna Kpong Tadeɛ Nkonkɔn Benkum (Kpong Left Bank) so mfuo-so nsuguguo a ɛde nsuo bɛkɔ asase hɛkta mpem mmienu ne ɔha (2;100ha) so.	Tono Irrigation Scheme (2,490ha); and kpong left Bank Irrigation Project (2,100ha).
0.9878	Tono afuo-so-nsuguguo dwumadie wɔ Navorongo	Rehabilitation of Tono Irrigation Project, Navorongo
0.9937	Ghana Abɛɛfo edwadibea no akoradan a ɛwɔ Wenchi	Ghana Commodity Exchange warehouse in wenchi
0.9956	Wɔde Mmoayɛn Nhwehwɛmu Beaeɛ a ɛfa nkokɔ a yɛbɛwe (ARIBRO) (Animal Research Institute Broiler) ho dwumadie baeɛ no; ɛberɛ a ɛdi kan nie a CSIR de brɔla nkokɔ abedeɛ ne anini apue edwa.	For the first time, since the inception of the release of the ARIBRO (Animal Research Institute Broiler), the CSIR developed and released male and female lines of broilers.
0.9971	Wɔyɛn Nkokɔbedeɛ dodoɔ a na wɔadi nnawɔtwe enum apem baako ne ahasa ne nkokɔnini a wɔbɛforo abedeɛ no ahasa a na wɔadi nnawɔtwe nson.	Each of these companies has between 40 and 48 individuals as shareholders.
