anchor_sim	qe_score	twi	english
0.5633	0.1580	2021 Ɔman MMA Sikasɛm NHYEHYƐEƐ	An Abridged and Simplified Version of the 2021 Budget Statement and Economic Policy
0.5804	0.0717	2021 Ɔman Mma Sikasɛm Nhyehysee No Ho Anodisɛm A Yɛakyerɛkyerɛ Mu Ama Ayɛ Tiawa Na Ne Nteases Ayɛ Mmrɛ OIERA ao o CETATE ao oki C=O E OET a	I | Government of Ghana - 2021 Citizens’ Budget
0.6312	0.0007	Ɛkwan a man Mma bestumi afa so abisa sho nsɛm 2021 Ɔman Sikasɛm Nhyehysee Ho Anodisɛm ne Ɔman Mma Sikasɛm no ho nsɛm wo abssfo amaneɛbɔbea a ew aseɛ ha yi:	Contact information for follow-up by citizens The 2021 Budget Statement and Economic Policy of the Government of Ghana and the 2021 Citizens’ Budget are available on the internet at: www.mofep.gov.gh
0.2055	0.0007	Wopɛ nwoma yi bi nso a, yɛsrɛ wo sɛ ko Asosees a EƐhwe Sikasɛm so no fese a wɔne ɔmanfoɔ di nkutaho ho. Public Relations Office New Building	For copies of the Statement, please contact the Public Relations Office of the Ministry of Finance: Public Relations Office New Building Ground Floor Room 001 or 003 P.
0.7695	0.9922	Box MB 40 Accra — Ghana Bureau of Ghana Languages	Box MB 40 Accra – Ghana Email: info@mofep.gov.gh
0.2565	0.6934	1| Ghana Aban - 2021 Ɔman Mma Sikasɛm Nhyehysee	Ii | Government of Ghana - 2021 Citizens’ Budget Contents IMPACT OF COVID-19 PANDEMIC, MITIGATING MEASURES AND THE
0.4106	0.0007	2 | Ghana Aban - 2021 Ɔman Mma Sikasɛm Nhyehysee Óla	Iii | Government of Ghana - 2021 Citizens’ Budget List of Tables:
0.6531	0.9863	Nkontabuo ho hyehyspono ahodoa: Hyehyspono 1:Sika A Ɛbaa Ɔman Fotoɔ Mu firi Ɔpɛpɔn kɔsi Ɔpenimma wɔ 2020 mu no ho Tɔfabɔ ( Ghana sika wo Ɔpepepem mu) Hyehyspono 2: Dwuma A Yɛde Sika Dii firi Ɔpɛpɔn kɔsi Ɔpenimma wɔ 2020 mu no ho Tɔfabɔ (Ghana Sika wo Ɔpepepem mu)	List of Figures: Figure 1: Summary of Revenue Performance for Jan-Dec 2020 ( in Billions of Figure 2: Summary of Expenditure Performance for Jan-Dec 2020 ( in Billions of
0.4528	0.6724	3 | Ghana Aban - 2021 Ɔman Mma Sikasɛm Nhyehysee	Iv | Government of Ghana - 2021 Citizens’ Budget
0.3061	0.0008	“Afei na ɛberɛ asɔ sɛ yɛn mu biara, a ɛmfa ho ne amanyɔkuo a obi dom, sosɔ yɛn nsa na yeka yɛn ahoɔden bom de yɛ adwumaden nam so pagya Ghanaman duru mpempensos a fata sɛ Ɔman yi	“Now is the time for each and every one of us, irrespective of our political affiliations, to unite, join hands, stand shoulder to shoulder, and work hard to place Ghana where she deserves to be”.
